,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Something Foreign (feat. ScHoolboy Q),Something Foreign (feat. ScHoolboy Q),SiR,2017-11-29,152531,42,0.585,0.639,0.585,0.621,0.0,0.0856,-6.736,0.296,107.991,4
1,(Sittin' On) the Dock of the Bay,The Dock of the Bay (Mono),Otis Redding,1968,163755,78,0.769,0.684,0.769,0.367,1.62e-05,0.081,-11.226,0.0312,103.621,4
2,Charcoal Baby,Negro Swan,Blood Orange,2018-08-24,242341,68,0.622,0.14,0.622,0.46,0.000369,0.119,-8.389,0.0372,183.241,4
3,THUG LIFE,iridescence,BROCKHAMPTON,2018-09-21,122986,49,0.576,0.274,0.576,0.74,3e-06,0.0948,-6.195,0.0854,159.959,4
4,Wavybone (feat. Juicy J & UGK),AT.LONG.LAST.A$AP,A$AP Rocky,2015-05-26,303000,57,0.7,0.0162,0.7,0.642,2.94e-06,0.206,-8.673,0.317,149.989,4
5,Pain,and the Anonymous Nobody...,De La Soul,2016-08-26,279754,60,0.908,0.0452,0.908,0.417,0.0824,0.0895,-8.244,0.255,104.504,4
6,SUMMER,EVERYTHING IS LOVE,The Carters,2018-06-18,285200,48,0.579,0.114,0.579,0.567,1.25e-05,0.324,-6.389,0.067,135.55,4
7,Lil Thing,Paradise,Knox Fortune,2017-09-22,207445,55,0.689,0.23,0.689,0.803,1.95e-05,0.0897,-3.929,0.15,155.967,4
8,If You Know You Know,DAYTONA,Pusha T,2018-05-25,202120,63,0.46,0.0186,0.46,0.697,0.0,0.362,-5.954,0.325,153.426,4
9,Such a Bad Way,2012 - 2017,Against All Logic,2018-02-17,293059,38,0.673,0.000462,0.673,0.836,0.853,0.0693,-5.117,0.0323,110.979,4
10,"After The Storm (feat. Tyler, The Creator & Bootsy Collins)","After The Storm (feat. Tyler, The Creator & Bootsy Collins)",Kali Uchis,2018-01-12,207454,0,0.646,0.301,0.646,0.661,0.000727,0.247,-6.624,0.163,79.465,4
11,Stressed Out (feat. Faith Evans),"Beats, Rhymes & Life",A Tribe Called Quest,1996-07-30,298200,51,0.823,0.0712,0.823,0.399,0.000258,0.0954,-10.108,0.234,93.524,4
12,The Ways (with Swae Lee),Black Panther The Album Music From And Inspired By,Kendrick Lamar,2018-02-09,238893,0,0.728,0.0651,0.728,0.706,0.0,0.148,-5.881,0.0511,140.044,4
13,When You Die,When You Die,MGMT,2017-12-12,263880,0,0.645,0.0946,0.645,0.938,0.0226,0.159,-4.557,0.0391,140.886,4
14,The Rain,"Dear Annie, Pt. 1",Rejjie Snow,2018-01-17,241253,0,0.779,0.176,0.779,0.427,1.42e-06,0.116,-7.365,0.418,133.669,4
15,The Sun,The Sun,Myd,2017-10-06,210040,0,0.774,0.22,0.774,0.673,0.583,0.0973,-6.473,0.035,126.016,4
16,90210 (feat. Kacy Hill),Rodeo (Expanded Edition),Travis Scott,2015-09-04,339066,80,0.402,0.113,0.402,0.526,8.33e-06,0.105,-6.741,0.0904,81.404,4
17,4EVER,4EVER,Clairo,2018-04-27,159595,74,0.75,0.049,0.75,0.585,0.00552,0.155,-7.576,0.0285,102.331,4
18,Loud Places,In Colour,Jamie xx,2015-06-01,283066,0,0.647,0.00422,0.647,0.626,0.323,0.122,-10.753,0.0424,109.015,4
