,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Down - FJAAK Remix,We Share Our Blood Remixes,Ouri,2019-05-31,418792,0,0.682,0.203,0.682,0.538,0.863,0.113,-16.123,0.0405,131.996,4
1,Parallax,"Happiness Therapy Split, Vol. 2",Jesse Bru,2018-11-30,540333,0,0.773,0.00161,0.773,0.782,0.908,0.227,-11.36,0.0499,128.003,4
2,There's a Truth,"Raw Cuts, Vol.1",Motor City Drum Ensemble,2010-04-16,388000,0,0.813,0.0449,0.813,0.633,0.608,0.098,-10.325,0.235,119.982,4
3,When the Lights Are Out,When the Lights Are Out,Maceo Plex,2019-05-31,444150,41,0.645,0.0031,0.645,0.861,0.771,0.226,-11.057,0.0508,127.99,4
4,The Hangar,Monument,Tale Of Us,2017-09-01,368760,31,0.795,0.0444,0.795,0.627,0.889,0.11,-9.659,0.0437,125.0,4
5,Don't Leave Me,Don't Leave Me / Plan A,FJAAK,2014-07-18,415083,47,0.651,0.000291,0.651,0.761,0.846,0.0756,-8.308,0.0519,127.991,4
6,Driven,Driven / X-mop 198,DJ Koze,2016-12-16,399011,0,0.874,0.00673,0.874,0.573,0.876,0.119,-9.689,0.157,123.999,4
7,Atlas - Adriatique Remix,Atlas (Remixes),Marc Romboy,2016-07-01,377738,50,0.767,0.00177,0.767,0.688,0.875,0.0644,-9.108,0.0496,124.002,4
8,Nevermind - Oliver Huntemann Remix,Nevermind,Victor Ruiz,2016-12-09,430328,37,0.805,0.000804,0.805,0.67,0.819,0.107,-10.867,0.0788,125.007,4
9,On Hold - Jamie xx Remix,On Hold (Jamie xx Remix),The xx,2017-09-13,371533,0,0.759,0.302,0.759,0.909,0.842,0.0998,-7.85,0.0373,128.189,4
10,Opal - Four Tet Remix,Opal (Four Tet Remix),Bicep,2018-03-07,494256,61,0.826,0.103,0.826,0.72,0.773,0.11,-9.582,0.119,127.011,4
11,Everything - Breach Remix,Everything (Remixes),Maya Jane Coles,2013-06-24,341494,21,0.786,0.00189,0.786,0.665,0.393,0.103,-7.3,0.0729,123.994,4
12,Untitled (feat. Moses Boyd),Untitled,Mura Masa,2017-07-26,365206,0,0.711,0.039,0.711,0.525,0.758,0.283,-13.73,0.0809,121.017,4
13,Roche noire,Les 7 laux,Various Artists,2016-08-26,378675,9,0.847,0.0153,0.847,0.684,0.733,0.083,-12.553,0.0727,122.977,4
